# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
2019 01 01 31777 31777.5 2529  8  1.000  1.333  2.667  1.667  2.000  0.333  0.000  0.667    4    5   12    6    7    2    0    3     5  12     71.9     69.5 2
2019 01 02 31778 31778.5 2529  9  0.000  0.000  0.000  0.000  0.333  0.333  0.000  0.000    0    0    0    0    2    2    0    0     0  15     75.2     72.7 2
2019 01 03 31779 31779.5 2529 10  1.000  0.000  0.000  0.333  0.333  0.000  0.000  0.333    4    0    0    2    2    0    0    2     1  15     72.6     70.2 2
2019 01 04 31780 31780.5 2529 11  1.333  0.333  1.000  1.667  2.000  3.000  2.667  3.333    5    2    4    6    7   15   12   18     9  13     71.5     69.1 2
2019 01 05 31781 31781.5 2529 12  5.000  4.000  2.333  2.333  1.667  2.333  2.000  3.000   48   27    9    9    6    9    7   15    16  11     71.1     68.8 2
2019 01 06 31782 31782.5 2529 13  1.667  2.667  2.333  1.667  2.000  2.667  3.000  2.000    6   12    9    6    7   12   15    7     9   0     72.0     69.6 2
2019 01 07 31783 31783.5 2529 14  1.667  2.333  1.667  2.000  1.667  0.333  0.333  2.000    6    9    6    7    6    2    2    7     6   0     71.5     69.1 2
2019 01 08 31784 31784.5 2529 15  2.333  1.667  1.333  2.333  1.333  0.667  1.333  0.333    9    6    5    9    5    3    5    2     6   0     71.3     69.0 2
2019 01 09 31785 31785.5 2529 16  1.667  0.667  1.000  1.333  0.667  0.333  1.000  1.000    6    3    4    5    3    2    4    4     4   0     71.5     69.2 2
2019 01 10 31786 31786.5 2529 17  1.000  0.667  1.000  1.000  1.333  0.333  0.000  0.667    4    3    4    4    5    2    0    3     3   0     70.1     67.8 2
2019 01 11 31787 31787.5 2529 18  1.333  1.667  3.333  1.333  1.333  0.333  1.333  0.333    5    6   18    5    5    2    5    2     6   0     68.1     65.9 2
2019 01 12 31788 31788.5 2529 19  0.667  0.333  0.000  0.000  1.000  0.667  0.333  0.333    3    2    0    0    4    3    2    2     2   0     69.6     67.3 2
2019 01 13 31789 31789.5 2529 20  0.333  1.000  0.667  0.667  0.000  0.000  0.667  1.000    2    4    3    3    0    0    3    4     2   0     68.9     66.6 2
2019 01 14 31790 31790.5 2529 21  2.000  1.667  2.000  2.000  0.667  1.667  1.000  2.667    7    6    7    7    3    6    4   12     6   0     70.0     67.8 2
2019 01 15 31791 31791.5 2529 22  2.667  0.667  1.333  0.667  0.667  1.000  1.333  1.000   12    3    5    3    3    4    5    4     5   0     69.5     67.3 2
2019 01 16 31792 31792.5 2529 23  0.333  1.667  1.667  0.333  0.333  1.000  2.000  2.667    2    6    6    2    2    4    7   12     5   0     69.7     67.5 2
2019 01 17 31793 31793.5 2529 24  2.667  2.000  0.667  1.333  1.000  2.000  2.000  1.667   12    7    3    5    4    7    7    6     6   0     68.6     66.4 2
2019 01 18 31794 31794.5 2529 25  1.667  1.333  0.667  2.000  1.333  1.667  1.000  0.667    6    5    3    7    5    6    4    3     5   0     68.8     66.6 2
2019 01 19 31795 31795.5 2529 26  0.333  0.000  0.667  1.667  0.000  1.000  1.000  2.667    2    0    3    6    0    4    4   12     4   0     69.7     67.4 2
2019 01 20 31796 31796.5 2529 27  1.667  1.000  0.667  0.333  0.667  0.667  0.667  0.667    6    4    3    2    3    3    3    3     3   0     69.2     67.0 2
2019 01 21 31797 31797.5 2530  1  1.000  0.333  0.000  0.333  0.333  0.667  1.333  1.667    4    2    0    2    2    3    5    6     3  10     69.9     67.7 2
2019 01 22 31798 31798.5 2530  2  0.000  0.333  0.000  0.000  0.333  1.000  1.667  2.000    0    2    0    0    2    4    6    7     3  16     70.7     68.5 2
2019 01 23 31799 31799.5 2530  3  2.667  2.333  2.000  2.667  3.000  2.333  2.333  4.000   12    9    7   12   15    9    9   27    12  19     71.5     69.3 2
2019 01 24 31800 31800.5 2530  4  3.667  3.333  3.667  1.333  1.333  2.667  3.667  4.333   22   18   22    5    5   12   22   32    17  21     72.4     70.2 2
2019 01 25 31801 31801.5 2530  5  2.000  2.667  3.333  2.667  3.333  3.000  2.333  1.667    7   12   18   12   18   15    9    6    12  22     75.0     72.7 2
2019 01 26 31802 31802.5 2530  6  1.667  1.667  1.333  1.000  3.000  2.667  0.667  0.667    6    6    5    4   15   12    3    3     7  26     76.6     74.3 2
2019 01 27 31803 31803.5 2530  7  2.000  1.333  1.333  1.000  0.333  0.333  1.000  0.667    7    5    5    4    2    2    4    3     4  19     75.1     72.8 2
2019 01 28 31804 31804.5 2530  8  0.667  0.000  0.333  0.000  0.000  0.333  0.333  0.000    3    0    2    0    0    2    2    0     1  16     75.8     73.5 2
2019 01 29 31805 31805.5 2530  9  1.667  0.000  0.000  0.333  0.667  0.333  0.000  0.000    6    0    0    2    3    2    0    0     2  13     73.1     70.9 2
2019 01 30 31806 31806.5 2530 10  0.000  0.000  0.000  0.000  0.000  0.000  1.000  1.000    0    0    0    0    0    0    4    4     1  11     73.5     71.4 2
2019 01 31 31807 31807.5 2530 11  1.000  0.333  1.000  1.000  2.667  3.333  3.000  5.333    4    2    4    4   12   18   15   56    14   0     72.1     70.0 2
2019 02 01 31808 31808.5 2530 12  2.333  3.333  3.333  2.333  2.333  3.667  3.000  3.667    9   18   18    9    9   22   15   22    15   0     72.1     70.0 2
2019 02 02 31809 31809.5 2530 13  3.667  4.000  3.000  2.333  2.000  3.333  3.000  3.000   22   27   15    9    7   18   15   15    16   0     70.9     68.8 2
2019 02 03 31810 31810.5 2530 14  3.333  3.000  2.667  1.000  1.333  2.333  2.000  2.333   18   15   12    4    5    9    7    9    10   0     71.1     69.1 2
2019 02 04 31811 31811.5 2530 15  0.667  0.000  0.667  0.333  1.333  1.667  3.000  2.333    3    0    3    2    5    6   15    9     5   0     70.7     68.7 2
2019 02 05 31812 31812.5 2530 16  3.000  1.333  0.667  0.333  0.333  1.000  1.000  0.333   15    5    3    2    2    4    4    2     5   0     70.6     68.7 2
2019 02 06 31813 31813.5 2530 17  1.000  2.000  2.000  2.667  2.667  1.333  2.333  2.333    4    7    7   12   12    5    9    9     8   0     69.8     67.9 2
2019 02 07 31814 31814.5 2530 18  1.667  1.333  1.000  0.000  0.333  0.667  1.000  2.000    6    5    4    0    2    3    4    7     4   0     70.2     68.3 2
2019 02 08 31815 31815.5 2530 19  2.000  1.667  1.667  1.333  0.667  1.333  2.333  3.667    7    6    6    5    3    5    9   22     8   0     70.0     68.1 2
2019 02 09 31816 31816.5 2530 20  2.667  2.000  2.000  2.333  1.667  2.333  3.000  1.000   12    7    7    9    6    9   15    4     9   0     70.3     68.4 2
2019 02 10 31817 31817.5 2530 21  2.333  2.667  0.667  1.333  0.333  0.333  1.000  1.000    9   12    3    5    2    2    4    4     5   0     70.0     68.1 2
2019 02 11 31818 31818.5 2530 22  1.000  1.333  1.667  0.667  3.000  3.000  2.000  2.333    4    5    6    3   15   15    7    9     8   0     69.9     68.0 2
2019 02 12 31819 31819.5 2530 23  2.000  2.333  0.333  0.333  1.000  0.667  0.000  2.333    7    9    2    2    4    3    0    9     4   0     70.2     68.4 2
2019 02 13 31820 31820.5 2530 24  1.667  2.667  2.667  3.667  3.667  3.000  1.333  2.000    6   12   12   22   22   15    5    7    13  12     70.4     68.6 2
2019 02 14 31821 31821.5 2530 25  2.667  3.333  2.333  3.000  0.333  0.667  2.333  1.667   12   18    9   15    2    3    9    6     9   0     71.4     69.7 2
2019 02 15 31822 31822.5 2530 26  2.333  1.000  0.667  0.333  0.667  0.333  0.667  0.000    9    4    3    2    3    2    3    0     3   0     70.9     69.2 2
2019 02 16 31823 31823.5 2530 27  0.000  0.000  1.000  0.000  1.000  2.000  1.333  0.667    0    0    4    0    4    7    5    3     3   0     70.7     69.0 2
2019 02 17 31824 31824.5 2531  1  0.000  0.000  0.667  0.333  0.000  0.333  2.000  2.333    0    0    3    2    0    2    7    9     3   0     70.1     68.4 2
2019 02 18 31825 31825.5 2531  2  3.000  3.000  0.333  1.333  1.333  1.000  0.333  0.333   15   15    2    5    5    4    2    2     6   0     69.9     68.3 2
2019 02 19 31826 31826.5 2531  3  0.333  1.000  1.000  0.333  0.000  0.333  0.667  0.333    2    4    4    2    0    2    3    2     2   0     70.2     68.6 2
2019 02 20 31827 31827.5 2531  4  0.333  0.000  0.333  0.000  0.333  1.000  1.333  1.667    2    0    2    0    2    4    5    6     3   0     71.0     69.4 2
2019 02 21 31828 31828.5 2531  5  2.667  2.000  3.667  1.667  2.667  1.667  1.000  3.000   12    7   22    6   12    6    4   15    10  11     70.8     69.2 2
2019 02 22 31829 31829.5 2531  6  2.000  0.333  1.000  0.667  0.333  0.000  0.667  1.333    7    2    4    3    2    0    3    5     3   0     71.2     69.7 2
2019 02 23 31830 31830.5 2531  7  0.333  0.000  0.333  0.000  0.000  1.000  1.000  0.000    2    0    2    0    0    4    4    0     2   0     70.7     69.2 2
2019 02 24 31831 31831.5 2531  8  0.000  0.000  0.667  0.667  1.000  0.000  0.000  0.000    0    0    3    3    4    0    0    0     1   0     70.5     69.0 2
